Action_Name,date,Processed_Features
action-cuda-compiler,2022-07-24 11:11:46,"['build cuda c ubuntu', 'cmake build type', 'directory cmake build', 'set version buf', 'add path cmakeliststxt', 'set gcc version']"
action-dev-tagger,2022-02-01 20:40:28,"['tag create', 'tag delete', 'reference management', 'tag']"
action-docker-make,2020-02-14 20:39:38,"['docker hub namespace image found', 'password admin', 'wrap dockermake github action', 'argument dockermake']"
action-download-last-artifact,2021-04-07 20:59:31,['downloads last created artifact name']
action-ebuild-release,2019-10-30 01:20:09,"['create ebuild', 'create update bin', 'specify repository', 'specify overlay document']"
action-ebuild-test,2019-10-24 17:49:23,['install gentoo ebuild repository']
Action-Graphite,2020-03-05 11:40:29,['run alembic docker container']
action-helm-for-eks,2022-05-16 13:32:24,['run helm eks']
action-http-cache,2023-06-02 07:44:50,"['set true disable compullrequestession impullrequestove performance us storage', 'pullrequestoject id', 'username basic auth', 'cache dependency', 'destinationfolder eg nodemodules vendor', 'cache service installed httpsgithubcomkevincobain2000cachehttp', 'dir operate default root dir repo', 'password basic auth', 'pullrequestovide lock file path eg yarnlock composerlock', 'full version terminus install', 'pullrequestovide field ignore lockfile eg version']"
action-internal-link-consistency,2021-03-14 11:06:04,"['input data point value', 'pullrequestoject id']"
action-latest-release-version,2021-01-31 10:19:36,"['version grcov install latest latest version', 'generate release note latest git commit']"
action-miniprogram-ci,2023-08-06 14:58:51,"['预览页面路径', '封装 minipullrequestogramci 为 action', '上传预览', '输出文件路径', '发送消息插件', '二维码文件路径', '设置消息接收人', 'ci 模式', '设置token缓存目录']"
action-minver-refreshed,2019-12-17 16:18:22,"['set custom build metadata semantic version', 'specifies part version autoincrement', 'specify runn version', 'specify log level', 'pullrequestovides default mapping case actor found', 'pullrequestoject id', 'specify minimum version go support']"
action-mjml-templates,2021-03-18 21:21:43,"['export html template github directory', 'annotates code directly github output eslint typescript', 'notify slack github release']"
action-monorepo-version-tags-lifecycle,2021-10-13 06:58:06,"['execution type pullrequesterelease release fix final newreleasebranch', 'create new check', 'enable dry run mode', 'specify pullrequestevious generation version', 'set current tag', 'get current pullrequestoduct major version', 'release pullrequestomotion', 'generate version tag monorepo multiple component', 'execute pullrequestovided sparql query', 'default branch version tag creation']"
action-prepend,2022-02-01 15:05:23,"['pullrequestovides template file', 'get invalue file path', 'specify pullrequestevious generation version', 'pullrequestovide data file reference']"
action-push-local-changes,2021-01-31 10:27:08,"['set commit user email', 'hash latest commit pull request', 'set commit user name', 'push change remote git repository', 'commit message']"
action-read-json,2021-07-28 20:51:29,"['json list commits pullrequest', 'load given repository', 'load', 'pullrequestune stack', 'load json', 'name json file', 'pullrequestint json output option', 'pullrequestovides template file']"
action-repoman,2019-10-25 21:16:33,"['specify repository', 'run golang command']"
action-rollout-semantic-pull-request,2022-10-05 08:15:21,"['verify pull request title', 'ensure pullrequest title match conventional commits spec']"
action-slack-notification,2019-06-24 20:19:34,"['get started javascript action', 'input data point value']"
action-slacker,2019-11-18 08:52:59,"['update message slack', 'sender name', 'message title link', 'reply pullrequestevious message thread', 'footer icon', 'required plaintext summary attachment', 'footer text', 'sender icon', 'optional text appears attachment block', 'tag color', 'message content', 'thumb url', 'view apim endpoint url', 'post message', 'message']"
action-slack,2019-08-15 15:38:59,"['succeeded workflow', 'notify slack github release', 'innocent emoji']"
action-spa,2020-12-20 14:54:02,"['time greeted', 'greet someone record time', 'greet']"
action-swit,2020-06-15 22:11:29,"['set message icon', 'send message switch', 'team webhook url']"
action-visual-snapshot,2020-06-26 16:58:02,"['path base snapshot eg main branch', 'github context', 'path current set snapshot', 'path write snapshot diffs', 'visual snapshot tester github action']"
action-xcodeproj-spm-update,2022-02-15 16:05:22,"['action fail outdated dependency detected', 'regenerate packageresolved', 'analyze change event diff', 'find xcodepullrequestoj path', 'update xcode pullrequestoject latest swift package dependency']"
action-yamler,2022-01-30 00:19:40,"['set field value', 'yaml file name', 'configure yaml file', 'output action', 'dotted yaml path edit', 'get value setting', 'hold value found path']"
ActionDebugger By WarpBuild,2019-08-23 12:31:20,"['get started node action', 'input data point value']"
actiondoc,2022-11-25 06:06:28,"['path containing definition use generating documentation', 'set github action workflow cordovaquasar environment']"
Actionlint Action,2023-07-19 10:53:08,"['run actionlint workflow file', 'install cppcheck apt']"
Actions DCO,2021-10-14 03:33:37,"['specify github access token', 'verifies commits pullrequest include developer certificate origin dco information']"
Actions Ecosystem Action Regex Match,2020-05-04 09:29:32,"['check inputsregex match inputstext', 'whether include commit data true false', 'extended regex inputstext', 'text target inputsregex', 'match input text input regex']"
Actions Ecosystem Action Release Label,2020-05-05 00:15:10,"['event triggered action', 'semver update level', 'update dependency initial check', 'pullrequestefix label indicate semver level']"
Actions for Discord,2021-06-20 15:06:17,"['message content', 'notify discord']"
actions limit rate,2020-04-13 03:47:36,"['time greeted', 'greet someone record time', 'greet']"
actions-android-ci,2020-02-18 03:51:56,"['github context', 'sdk developing android apps', 'use gradle', 'run android gradle task']"
actions-env,2022-11-25 06:53:47,['create env file github secret']
actions-go-release,2022-01-24 16:23:31,"['release management', 'architecture selector', 'name image', 'specify operating system']"
actions-k3s,2020-05-23 18:16:56,"['start k3s cluster', 'setup kubectl config', 'run golang command', 'get version k3s']"
actions-rules-repository,2023-05-03 12:09:21,"['add label github repository label line break multiple label issue pull request github token', 'create github release generation', 'add label release', 'add comment github', 'get url github pull request', 'add comment label pull request', 'add multiple label', 'add label line break']"
actions-setup-cmake,2020-01-12 18:22:29,"['cmake version', 'setup cmake build generator', 'retrieve version info']"
actions-slack,2019-12-17 06:19:30,"['input data point value', 'pullrequestoject id']"
actions.mini-program,2021-01-10 06:45:49,"['integration mini pullrequestogram', 'github context', 'collaborative work flow']"
actionshub-chef-install,2020-01-04 22:16:38,"['omnitruck base url', 'installs chef linux build agent ease', 'chef pullrequestoject install chefworkstation chefdk', 'chef channel install stable current', 'version application default latest']"
actionshub-test-kitchen,2020-04-19 08:36:29,"['use action test kitchen', 'run specific version pmd', 'run command test', 'run test kitchen command build pipeline']"
Activate Namespace,2020-05-27 22:42:16,"['create namespace okteto cloud', 'kubernetes namespace resource', 'path kubeconfig']"
ada-actionstoolchain,2019-08-28 22:04:33,"['get started node action', 'input data point value']"
Add Changelog to Release,2022-02-24 17:49:54,"['response status code', 'token user repository', 'handle response', 'changelog markdown format', 'displaying repository name']"
Add Comment to PR or Issue,2021-03-31 14:17:52,"['option parameter command', 'resolve variable reference', 'support emoji', 'add comment label pull request', 'support markdown']"
Add debian repository,2020-11-17 15:06:19,"['install dependency debian package', 'create new file etcaptsourceslistd directory', 'use service account key authentication', 'repository key import using aptkey']"
Add Env vars,2020-02-22 16:06:18,"['input data point value', 'pullrequestoject id']"
Add Grafana annotation,2020-03-08 15:35:54,"['install typescript setup', 'create github release generation']"
Add NuGet package source,2023-08-15 14:27:17,"['input data point value', 'pullrequestoject id']"
Add pacman repository,2020-11-26 16:53:02,"['name model generated', 'view apim endpoint url', 'add pacman repository etcpacmanconf']"
Add PR Comment,2019-11-22 22:12:31,"['millisecond retries', 'add comment label pull request', 'pullrequestoject id']"
Add PR Review Comment,2021-01-08 14:45:55,"['get json list created comment', 'assign reviewer assignee pull request', 'created comment', 'us github token', 'get json list message', 'repeat message', 'login functionality']"
Add Pull Request Comment Via GitHub Actions,2023-02-02 08:47:57,"['check comment command', 'specify github access token', 'validator fail', 'use specific id message', 'check source file update', 'get url github pull request', 'add comment label pull request', 'pullrequestovide data file reference', 'pullrequestoject id', 'specify job status', 'override message successful run', 'get comment id', 'repeat message', 'override message cancelled run']"
Add Pull Request Reviewer,2020-07-10 13:25:23,"['github personal access token', 'assign reviewer assignee pull request', 'add reviewer comma separated list']"
Add Registry,2022-12-23 01:48:35,"['add registry julia environment', 'terraformcontroller github repository']"
Add Remote Tag,2020-11-09 13:00:29,"['copy tag', 'docker registry', 'create semver tag existing docker image', 'tag repository', 'clone repository']"
Add to PR Descriptions,2022-10-28 16:12:42,"['input data point value', 'pullrequestoject id']"
add-gitconfig-url,2022-04-05 12:54:01,"['target repo url', 'generates new kvaas key url pullrequestesent', 'url']"
addcommenttopullandissuesfrompushaction,2021-04-10 11:33:57,"['input data point value', 'pullrequestoject id']"
Additional Version,2020-12-14 19:02:41,"['specify pullrequestevious generation version', 'name branch', 'cmake version', 'dev branch selection', 'output version gitversion', 'path used calculate change commaseparated']"
Advance android version actions,2020-09-26 09:40:52,"['specify new specification path', 'override version gradle path', 'update new version code', 'change version name code directly buildgradle file', 'action execution outcome']"
Advanced Installer Tool,2021-12-17 14:02:54,"['advanced installer version deploy', 'pullrequestefixes api route']"
AES IP Access,2021-05-26 18:41:31,"['name amazon elasticsearch domain', 'add ip amazon elasticsearch access policy']"
ahanoffmovine-action,2020-11-15 13:22:52,"['time greeted', 'greet someone record time', 'greet']"
AIO Apps,2020-03-04 11:20:14,"['deploy deployment', 'build pass', 'test', 'aio apps']"
AIO CLI Setup,2020-03-04 11:09:15,['setup algolia cli']
Airbrake Deploy,2020-09-03 21:45:46,"['create deployment environment repository', 'airbrake deploy user', 'airbrake pullrequestoject id', 'airbrake repository', 'airbrake deploy revision']"
Airspace  Merge branches,2022-11-14 07:54:56,"['merge branch', 'source branch want merge target', 'merge source branch target branch', 'token used authenticate github performing merge command', 'commit message']"
AirWatch Schedule,2021-03-12 09:16:32,"['version application activated', 'airwatch organisation group id', 'airwatch api host url', 'pullrequestoduct name used airwatch list pullrequestoducts', 'airwatch password', 'airwatch id smart group activation scheduled', 'application identifier apk ipa uploaded', 'schedule activation pullrequesteviously uploaded apk ipa', 'airwatch username', 'airwatch tenant code', 'action triggered activation date', 'id given airwatch application upon upload']"
AirWatch Upload,2021-03-12 09:12:50,"['file path apk ipa uploaded', 'airwatch organisation group id', 'airwatch api host url', 'airwatch tenant code used credential', 'device model application uploaded', 'upload apk ipa artefact', 'application identifier apk ipa uploaded', 'id given uploaded application', 'airwatch password used credential', 'application name used airwatch list apps']"
Ajay Composite Action 1,2022-10-14 09:18:01,['pullrequestefixes api route']
Akamai Cache Purge,2020-06-01 10:13:38,['purge cache via akamai apis']
Akamai Netstorage Action,2020-09-14 11:17:50,"['invalidate url', 'reference', 'invalidate tag', 'tag delete', 'validator fail', 'network', 'delete action repository', 'invalidate cpcode', 'build jekyll site', 'delete artifact', 'delete cpcode', 'upload akamai netstorage']"
Akillisatici S3 Upload Action,2021-01-04 08:24:06,"['failure success result status', 'uploads file amazon s3']"
AKS Check Quantity Deployment,2022-08-05 21:48:24,"['view eks name', 'check quantity deployment ak', 'view acceptably deployment count cluster']"
AKS Create Dev Cluster Action,2021-08-30 14:26:54,"['name image', 'pullrequestovides client id', 'set client secret service pullrequestincipal', 'pullrequestovides tenant id', 'set subscription service pullrequestincipal', 'set resource group cluster', 'create development ak cluster']"
Alexa Labeller,2020-04-30 01:16:40,['label pullrequests top alexa label']
Algolia Docsearch Action,2021-03-14 09:49:27,"['algolia docsearch scraper', 'algolia indexing completed']"
Algolia Docsearch Indexer,2020-04-13 14:03:48,"['algolia docsearch apikey', 'update algolia docsearch index', 'compare docsgo file']"
Algorand Contract,2020-07-20 10:15:23,['action test pullrequestovenance smart contract']
Algorithmia build-wait,2020-03-18 20:40:31,"['algorithm management', 'connect algorithmia cluster', 'endtoend testing algorithm hosted github', 'api key']"
Algorithmia CICD,2020-03-23 19:59:52,"['algorithm management', 'name algorithm algorithmia', 'api key', 'endtoend continuous integration deployment algorithm algorithmiacom', 'test case definition', 'release pullrequestomotion']"
Algorithmia publish-algo,2020-03-21 00:06:46,"['release pullrequestomotion', 'publish algorithm algorithmia', 'name algorithm algorithmia', 'connect algorithmia cluster', 'api key']"
Algorithmia test-algo,2020-03-16 23:17:06,"['algorithm management', 'test case definition', 'endtoend testing algorithm', 'api key', 'api address configuration']"
Alibaba Cloud Container Registry (ACR) Image Scan,2020-05-03 03:11:36,"['image repository name including namespacename', 'registry instance id', 'image tag', 'secret storage', 'region selection', 'key id retrieval', 'scan image container registry']"
Alibaba Cloud Container Registry (ACR) Login,2020-02-06 16:11:10,"['container registry username', 'log container registry', 'secret storage', 'container registry password', 'key id retrieval', 'container registry server url']"
Aliyun CDN Redirector Action,2022-01-10 07:21:28,"['aliyun accesskeysecret', 'update cdn redirect config', 'accesskeyid', 'request path regex match', 'follow redirect', 'redirect configid', 'cdn domain eg dwxxxcom']"
Aliyun CDN Refresh Action,2021-11-30 10:08:13,"['aliyun accesskeysecret', 'accesskeyid', 'refresh aliyun cdn', 'filedirectory refresh', 'refresh type file directory']"
alls-green,2021-12-03 03:39:17,"['job status success failure', 'check job matrix succeeded', 'list job need context', 'cancel workflow job failed', 'github action checking test matrix job successful pullrequestoceeding', 'job name allowed fail']"
ALM Octane GitHub Actions Integration,2023-03-31 11:59:49,"['alm octane api access client id', 'shared space id', 'workspace name', 'url alm octane instance', 'github sha', 'api secret id', 'pattern search unit test result report file artifact', 'sends cicd data github action alm octane', 'github url']"
Alpine Build APK,2022-02-11 14:33:27,"['package name', 'path apkaab file', 'rsa key sign package', 'build alpine package', 'path schemajson', 'alpine package release number', 'public rsa key verify package']"
Alpine Semantic Releaser,2020-04-24 18:04:32,['run semanticrelease']
alpine-matrix-action,2023-07-05 05:39:41,"['image name eg alpinelatest', 'generate alpine release matrix', 'specify number release include']"
Altostra Login,2020-12-15 13:06:37,"['generate api token', 'log altostra account']"
Altostra Push and Deploy,2020-12-15 13:05:34,"['name image', 'target specific resource', 'deploy altostra pullrequestoject']"
Always Fail,2020-03-03 14:25:05,"['track duration deployment millisecond', 'number millisecond wait']"
always-upload-cache,2019-10-30 18:48:49,"['restore save flutter sdk tofrom cache', 'regenerate query cache', 'cache saving', 'indicate exact match found pullrequestimary key', 'cache artifact like dependency build output impullrequestove workflow execution time']"
Amazon AppStore Deployment Action,2021-12-08 20:28:29,"['manages amazon appstore application metadata', 'manages apk file deployment']"
Amazon Batch Register Job Definition Action for GitHub Actions,2022-03-08 03:50:29,"['display name job', 'path batch job definition json file', 'register job definition file aws batch', 'arn job definition', 'revision number job definition']"
Amazon Batch Render Job Definition Action for GitHub Actions,2021-06-03 12:59:50,"['specify new specification filename', 'path setting json file supplied markdown json tool', 'path batch job definition json file', 'creates new ec task definition json file', 'insert container image uri container definition amazon ec task definition json file creating new file', 'insert container image uri container definition']"
Amazon ECR Login Action for GitHub Actions,2019-11-01 17:58:13,"['registry id aws account id ecr repository', 'log local docker client one ecr registry', 'uri default ecr registry']"
Amazon ECS - Run Standalone Task,2019-11-01 17:04:48,"['path ec task definition file register', 'register ec task definition wait ec service reach stable state', 'arn registered ec task definition', 'register amazon ec task definition deploys ec service', 'name ec service deploy action register task definition service given']"
Amazon ECS Deploy Existing Task definition,2023-06-18 06:29:37,"['get task definition arn', 'get ec service name', 'specify eks cluster name', 'name ec service deploy action register task definition service given', 'register amazon ec task definition deploys ec service', 'arn registered ec task definition', 'us latest task definition', 'get ec region', 'get image uri']"
Amazon ECS Deploy Task Definition Action for GitHub Actions,2019-11-01 17:04:48,"['path ec task definition file register', 'register ec task definition wait ec service reach stable state', 'arn registered ec task definition', 'register amazon ec task definition deploys ec service', 'name ec service deploy action register task definition service given']"
Amazon ECS Render Task Definition Action for GitHub Actions (+ Environment Overwritten),2019-11-01 16:50:16,"['specify new specification filename', 'insert container image uri container definition', 'name container defined containerdefinitions section ec task definition', 'path ec task definition file register', 'update container name amazon ec task definition json file']"
Amazon ECS Render Task Definition Action for GitHub Actions,2019-11-01 16:50:16,"['specify new specification filename', 'insert container image uri container definition', 'name container defined containerdefinitions section ec task definition', 'path ec task definition file register', 'update container name amazon ec task definition json file']"
Amazon ECS Render Task Definition Action,2019-11-01 16:50:16,"['specify new specification filename', 'insert container image uri container definition', 'name container defined containerdefinitions section ec task definition', 'path ec task definition file register', 'update container name amazon ec task definition json file']"
Amazon ECS Run Task Action for GitHub Actions,2019-11-01 17:04:48,"['path ec task definition file register', 'register ec task definition wait ec service reach stable state', 'arn registered ec task definition', 'register amazon ec task definition deploys ec service', 'name ec service deploy action register task definition service given']"
Amazon ECS Standalone Task deployment for GitHub Actions,2019-11-01 17:04:48,"['path ec task definition file register', 'register ec task definition wait ec service reach stable state', 'arn registered ec task definition', 'register amazon ec task definition deploys ec service', 'name ec service deploy action register task definition service given']"
